Month ,Total Gross ,% Of Year ,Avg. ,Top Movie of the Month ,Gross ,% Of Total
8/1/2005,712440000,8%,"$3,851,027 ",The Dukes of Hazzard,"$75,311,878 ",11%
9/1/2005,513670000,6%,"$2,446,048 ",The Exorcism of Emily Rose,"$65,462,435 ",13%
10/1/2005,567820000,6%,"$2,756,408 ",Wallace and Gromit: The Curse of the Were-Rabbit,"$50,031,652 ",9%
11/1/2005,825370000,9%,"$4,147,588 ",Harry Potter and the Goblet of Fire,"$207,545,743 ",25%
12/1/2005,911260000,10%,"$4,952,500 ","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$209,441,805 ",23%
1/1/2006,774670000,8%,"$4,997,871 ","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$68,940,355 ",9%
2/1/2006,624570000,7%,"$3,528,644 ",The Pink Panther (2006),"$61,847,834 ",10%
3/1/2006,619000000,7%,"$3,126,263 ",Failure to Launch,"$68,845,331 ",11%
4/1/2006,683010000,7%,"$3,237,014 ",Ice Age: The Meltdown,"$156,073,540 ",23%
5/1/2006,781260000,9%,"$4,047,979 ",The Da Vinci Code,"$150,622,156 ",19%
6/1/2006,943520000,10%,"$5,271,061 ",Cars,"$172,083,775 ",18%
7/1/2006,1157000000,13%,"$6,611,429 ",Pirates of the Caribbean: Dead Man's Chest,"$361,089,945 ",31%
8/1/2006,753380000,8%,"$4,185,444 ",Talladega Nights: The Ballad of Ricky Bobby,"$130,671,852 ",17%
9/1/2006,533720000,6%,"$2,709,239 ",jackass: number two,"$48,012,744 ",9%
10/1/2006,595290000,6%,"$2,781,729 ",The Departed,"$92,632,642 ",16%
11/1/2006,775780000,8%,"$4,083,053 ",Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"$111,493,445 ",14%
12/1/2006,933150000,10%,"$5,213,128 ",Night at the Museum,"$115,824,587 ",12%
1/1/2007,725710000,8%,"$4,774,408 ",Night at the Museum,"$102,349,912 ",14%
2/1/2007,636470000,7%,"$4,079,936 ",Ghost Rider,"$82,213,474 ",13%
3/1/2007,791210000,8%,"$4,547,184 ",300,"$176,489,645 ",22%
4/1/2007,607660000,6%,"$3,357,238 ",Blades of Glory,"$83,685,506 ",14%
5/1/2007,924750000,10%,"$5,053,279 ",Spider-Man 3,"$310,761,605 ",34%
6/1/2007,917010000,10%,"$4,930,161 ",Pirates of the Caribbean: At World's End,"$120,883,696 ",13%
7/1/2007,1302450000,14%,"$7,276,257 ",Transformers,"$287,615,017 ",22%
8/1/2007,918140000,10%,"$4,807,016 ",The Bourne Ultimatum,"$192,021,226 ",21%
9/1/2007,553040000,6%,"$2,926,138 ",Halloween (2007),"$45,304,753 ",8%
10/1/2007,520660000,5%,"$2,552,255 ",The Game Plan,"$54,853,905 ",11%
11/1/2007,737030000,8%,"$3,760,357 ",American Gangster,"$118,792,021 ",16%
12/1/2007,992120000,10%,"$5,701,839 ",I Am Legend,"$199,345,687 ",20%
1/1/2008,839760000,9%,"$5,791,448 ",Juno,"$74,888,123 ",9%
2/1/2008,692360000,7%,"$4,409,936 ",Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,"$62,369,363 ",9%
3/1/2008,681800000,7%,"$3,705,435 ",Dr. Seuss' Horton Hears a Who!,"$118,761,455 ",17%
4/1/2008,495780000,5%,"$2,582,188 ",21,"$50,596,744 ",10%
5/1/2008,948710000,10%,"$4,561,106 ",Iron Man,"$272,477,627 ",29%
6/1/2008,1035140000,11%,"$5,254,518 ",Kung Fu Panda,"$181,078,184 ",17%
7/1/2008,1247250000,13%,"$6,599,206 ",The Dark Knight,"$351,089,480 ",28%
8/1/2008,886490000,9%,"$4,641,309 ",The Dark Knight,"$151,216,593 ",17%
9/1/2008,493920000,5%,"$2,421,176 ",Burn After Reading,"$46,640,063 ",9%
10/1/2008,612140000,6%,"$2,615,983 ",Beverly Hills Chihuahua,"$79,954,957 ",13%
11/1/2008,899250000,9%,"$4,202,103 ",Madagascar: Escape 2 Africa,"$159,066,008 ",18%
12/1/2008,797810000,8%,"$4,585,115 ",Marley & Me,"$72,441,337 ",9%
1/1/2009,1015390000,10%,"$6,426,519 ",Gran Torino,"$103,099,721 ",10%
2/1/2009,770180000,7%,"$5,203,919 ",Taken,"$84,330,708 ",11%
3/1/2009,647590000,6%,"$3,558,187 ",Watchmen,"$103,790,504 ",16%
4/1/2009,694720000,7%,"$3,859,556 ",Fast & Furious,"$147,039,229 ",21%
5/1/2009,1018600000,10%,"$6,287,654 ",Star Trek,"$209,316,145 ",21%
6/1/2009,1087180000,10%,"$6,107,753 ",Transformers: Revenge of the Fallen,"$228,442,454 ",21%
7/1/2009,1166770000,11%,"$6,206,223 ",Harry Potter and the Half-Blood Prince,"$243,139,338 ",21%
8/1/2009,908320000,9%,"$4,682,062 ",G.I. Joe: The Rise of Cobra,"$132,733,310 ",15%
9/1/2009,545860850,5%,"$2,675,788 ",Cloudy with a Chance of Meatballs,"$64,706,000 ",12%
10/1/2009,694750000,7%,"$3,129,505 ",Couples Retreat,"$85,181,882 ",12%
11/1/2009,990650000,9%,"$4,565,207 ",The Twilight Saga: New Moon,"$233,333,792 ",24%
12/1/2009,1065110000,10%,"$6,339,940 ",Avatar,"$283,985,076 ",27%
1/1/2010,1059530000,10%,"$6,540,308 ",Avatar,"$312,128,206 ",29%
2/1/2010,754650000,7%,"$4,491,964 ",Avatar,"$110,807,652 ",15%
3/1/2010,829800000,8%,"$4,688,136 ",Alice in Wonderland (2010),"$299,459,690 ",36%
4/1/2010,751560000,7%,"$3,976,508 ",Clash of the Titans (2010),"$149,722,705 ",20%
5/1/2010,906770000,9%,"$5,009,779 ",Iron Man 2,"$279,653,149 ",31%
6/1/2010,1054510000,10%,"$6,095,434 ",Toy Story 3,"$251,344,663 ",24%
7/1/2010,1318850000,12%,"$7,993,030 ",The Twilight Saga: Eclipse,"$218,469,293 ",17%
8/1/2010,875200000,8%,"$5,118,129 ",The Other Guys,"$100,383,645 ",11%
9/1/2010,544370000,5%,"$2,835,260 ",The Town,"$54,307,420 ",10%
10/1/2010,690970000,7%,"$3,354,223 ",Jackass 3D,"$101,657,558 ",15%
11/1/2010,898920000,9%,"$5,050,112 ",Harry Potter and the Deathly Hallows: Part 1,"$223,673,772 ",25%
12/1/2010,885380000,8%,"$5,117,803 ",TRON: Legacy,"$117,540,071 ",13%
1/1/2011,755340000,7%,"$4,841,923 ",The Green Hornet,"$79,116,896 ",10%
2/1/2011,659530000,6%,"$3,812,312 ",Just Go With It,"$79,457,552 ",12%
3/1/2011,682050000,7%,"$3,875,284 ",Rango,"$109,223,302 ",16%
4/1/2011,792040000,8%,"$3,980,101 ",HOP,"$104,656,925 ",13%
5/1/2011,1036500000,10%,"$5,370,466 ",Pirates of the Caribbean: On Stranger Tides,"$166,774,780 ",16%
6/1/2011,1005490000,10%,"$5,914,647 ",X-Men: First Class,"$135,711,727 ",13%
7/1/2011,1398360000,14%,"$7,558,703 ",Harry Potter and the Deathly Hallows: Part 2,"$318,511,602 ",23%
8/1/2011,897330000,9%,"$4,601,692 ",Rise of the Planet of the Apes,"$151,459,484 ",17%
9/1/2011,604160000,6%,"$2,615,411 ",The Lion King 3D,"$71,891,486 ",12%
10/1/2011,612520000,6%,"$3,002,549 ",Paranormal Activity 3,"$83,450,755 ",14%
11/1/2011,860280000,8%,"$4,366,904 ",The Twilight Saga: Breaking Dawn - Part 1,"$228,151,826 ",27%
12/1/2011,882020000,9%,"$5,378,171 ",Sherlock Holmes: A Game of Shadows,"$124,051,629 ",14%
1/1/2012,831120000,8%,"$5,362,065 ",Mission: Impossible - Ghost Protocol,"$80,700,258 ",10%
2/1/2012,818270000,8%,"$4,785,205 ",The Vow,"$104,954,247 ",13%
3/1/2012,942630000,9%,"$4,620,735 ",The Hunger Games,"$233,324,271 ",25%
4/1/2012,721950000,7%,"$3,627,889 ",The Hunger Games,"$139,416,672 ",19%
5/1/2012,1024480000,9%,"$5,991,111 ",Marvel's The Avengers,"$532,463,980 ",52%
6/1/2012,1055650000,10%,"$5,675,538 ",Madagascar 3: Europe's Most Wanted,"$176,461,006 ",17%
7/1/2012,1318570000,12%,"$7,943,193 ",The Dark Knight Rises,"$304,045,972 ",23%
8/1/2012,806740000,7%,"$4,201,771 ",The Dark Knight Rises,"$122,683,470 ",15%
9/1/2012,571810000,5%,"$2,932,359 ",Hotel Transylvania,"$42,522,194 ",7%
10/1/2012,672990000,6%,"$3,282,878 ",Taken 2,"$118,990,752 ",18%
11/1/2012,1089640000,10%,"$5,448,200 ",The Twilight Saga: Breaking Dawn - Part 2,"$242,683,487 ",22%
12/1/2012,959940000,9%,"$5,748,144 ",The Hobbit: An Unexpected Journey,"$228,546,604 ",24%
1/1/2013,827220000,8%,"$5,336,903 ",Django Unchained,"$79,334,578 ",10%
2/1/2013,616920000,6%,"$4,225,479 ",Identity Thief,"$97,727,105 ",16%
3/1/2013,827630000,8%,"$4,729,314 ",Oz: The Great and Powerful,"$198,374,716 ",24%
4/1/2013,634350000,6%,"$3,253,077 ",The Croods,"$75,042,438 ",12%
5/1/2013,1143120000,10%,"$5,773,333 ",Iron Man 3,"$378,998,131 ",33%
6/1/2013,1246060000,11%,"$6,884,309 ",Man of Steel,"$248,577,596 ",20%
7/1/2013,1369820000,13%,"$8,105,444 ",Despicable Me 2,"$313,957,310 ",23%
8/1/2013,929570000,9%,"$4,970,963 ",We're the Millers,"$104,657,282 ",11%
9/1/2013,575810000,5%,"$2,629,269 ",Insidious: Chapter 2,"$69,716,265 ",12%
10/1/2013,630150000,6%,"$2,944,626 ",Gravity,"$206,066,013 ",33%
11/1/2013,1070850000,10%,"$5,726,471 ",The Hunger Games: Catching Fire,"$282,087,763 ",26%
12/1/2013,1047250000,10%,"$6,346,970 ",The Hobbit: The Desolation of Smaug,"$201,542,078 ",19%
1/1/2014,894060000,9%,"$5,418,545 ",Lone Survivor,"$99,822,733 ",11%
2/1/2014,700170000,7%,"$4,295,521 ",The LEGO Movie,"$192,721,994 ",28%
3/1/2014,804860000,8%,"$4,327,204 ",300: Rise of an Empire,"$101,448,843 ",13%
4/1/2014,771870000,7%,"$4,105,691 ",Captain America: The Winter Soldier,"$228,529,867 ",30%
5/1/2014,1009150000,10%,"$5,484,511 ",The Amazing Spider-Man 2,"$191,644,383 ",19%
